uuid,current_minute,home_score,away_score,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_attacks,away_attacks,home_dangerous_attacks,away_dangerous_attacks,home_corners,away_corners,home_off_target,away_off_target,home_on_target,away_on_target,home_possession,away_possession,final_delta
4e787658-b7ea-4899-a0eb-1c798cf8265f,45,0,1,0,0,0,0,27,28,16,15,5,4,5,3,1,7,55,45,1
07588812-4e39-490b-a3a1-91226deda73d,70,0,0,0,0,0,0,60,80,49,44,2,1,6,4,1,2,48,52,1
79b5d472-4207-43a0-8835-e2b8553eca98,23,0,0,0,0,0,0,25,31,5,17,1,0,1,1,0,0,44,56,2
664c0dbe-fe27-4379-add6-8f98d5e026ac,25,0,0,0,0,0,0,42,14,22,7,1,0,2,3,1,0,64,36,3
893cea14-841c-4387-8d1e-24bec99ea43c,85,0,2,0,2,0,0,95,90,65,30,10,1,4,0,3,3,49,51,1
8edc6bfd-62cd-4e2b-afec-be23333ca847,73,1,0,3,0,0,0,45,67,17,65,0,6,2,9,1,2,33,67,0
df2c915e-8440-40e0-bd18-7d92e6624a18,78,0,1,0,2,0,0,58,51,41,51,2,7,5,3,0,6,42,58,3
a5d34bc3-25d8-4ae8-88ba-00c431f5a54a,43,0,0,0,0,0,0,75,57,48,24,1,0,4,3,2,0,60,40,2
1d334424-0766-4e09-a566-1a9cbb98faf2,88,2,3,0,0,0,0,109,60,75,30,9,2,6,1,4,6,65,35,0
196d1dd9-d43e-4dca-b856-d4c2e8751ce3,32,1,0,0,0,0,0,27,19,21,14,2,3,1,2,4,1,69,31,3
ab77fc32-b853-4311-8d11-b699e28f608b,38,2,1,0,0,0,0,23,21,14,11,3,1,2,0,5,2,53,47,2
de036bfe-81e7-4af0-9e72-9fdd91d1ecca,46,0,0,0,0,0,0,43,45,26,32,1,0,3,2,0,3,33,67,3
23c792f8-aaba-4ee2-a4fb-cefec6c30f18,71,2,0,0,0,0,0,74,81,27,63,0,5,5,4,2,0,37,63,2
69343971-c7f7-4bf5-bc3d-3a40116a2079,29,0,0,0,1,0,0,30,33,19,24,0,1,2,2,0,1,46,54,3
ec48a087-5a18-4c16-a889-c8a1c82165b1,93,0,3,0,0,0,0,88,77,44,49,3,4,4,5,0,5,54,46,0
a46aa6da-ec16-43d2-ae0f-f38a0e23e094,70,2,0,0,0,0,0,49,44,39,32,4,6,8,3,4,1,57,43,1
72438d6b-3347-48c5-a8d9-adfd2e87c2f7,35,0,0,2,0,0,0,37,38,19,19,3,1,4,0,1,1,47,53,0
56495421-747d-4719-9c84-4e8dda3b9c14,65,1,2,0,0,0,0,77,65,51,65,1,3,2,3,3,6,52,48,2
8fea5a17-8682-418f-8442-0c8698e733b3,80,2,2,0,0,0,0,30,43,11,25,1,14,2,12,3,5,35,65,1
3cc66c3f-7a16-41d3-aba0-cbc27498a4b5,103,2,2,4,2,0,0,101,109,87,82,7,1,2,3,5,3,53,47,2
8039a74b-bdd0-4222-a1e6-0a5b8d8158f9,69,1,1,0,0,0,0,33,23,20,15,1,1,4,2,4,2,53,47,1
8dd7f888-e703-4d9a-b0c5-fab69d9995a6,95,1,0,1,2,0,0,99,67,51,28,6,2,12,6,2,2,54,46,0
bc26271f-ea6f-449a-b782-4d1358a2eb29,17,0,1,0,0,0,0,16,19,11,12,1,2,1,0,0,1,60,40,6
8ac233ea-7c9e-4a7f-b96b-f7a1492cd97b,68,1,0,0,0,0,0,44,83,33,43,2,2,3,7,4,2,34,66,0
3597aff6-db52-4449-a2b6-46a4f6c342b0,42,0,0,1,1,0,0,20,24,28,22,4,1,2,1,1,0,54,46,3
